
 num     #instances         #bytes  class name
 417:             1           2720  [Lscala.reflect.NameTransformer$OpCodes;
 418:            85           2720  java.lang.invoke.DirectMethodHandle
 419:           113           2712  org.apache.xerces.util.SymbolTable$Entry
 420:            48           2688  scala.reflect.runtime.JavaMirrors$JavaMirror$FromJavaClassCompleter
 421:             4           2680  [Lorg.apache.hadoop.hive.conf.HiveConf$ConfVars;
 422:             4           2680  [Lorg.apache.hadoop.hive.conf.HiveConf$ConfVars;
 423:           161           2576  org.apache.spark.internal.config.TypedConfigBuilder$$anonfun$$lessinit$greater$1
 424:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 425:            80           2560  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 426:           105           2544  [Ljava.io.ObjectStreamClass$ClassDataSlot;
 427:           106           2544  java.lang.invoke.LambdaForm$NamedFunction
 428:            53           2544  org.datanucleus.util.SoftValueMap$SoftValueReference
 429:           105           2520  org.datanucleus.store.rdbms.mapping.MappedTypeManager$MappedType
 430:            52           2496  javax.management.MBeanInfo
 431:            31           2480  sun.net.www.protocol.jar.URLJarFile
 432:            77           2464  java.security.BasicPermissionCollection
 433:            91           2448  [Lorg.antlr.v4.runtime.atn.PredictionContext;
 434:            17           2448  java.text.DecimalFormat
 435:           101           2408  [Ljava.lang.reflect.Type;
 436:            60           2400  org.antlr.v4.runtime.atn.StarLoopbackState
 437:            98           2352  java.io.FilePermissionCollection
 438:            42           2352  java.util.ResourceBundle$CacheKey
 439:             5           2328  [Lorg.apache.xerces.xni.QName;
 440:            29           2320  org.apache.spark.sql.catalyst.plans.logical.Project
 441:            96           2304  com.sun.org.apache.xml.internal.serializer.EncodingInfo
 442:             2           2296  [Lorg.spark_project.jetty.http.HttpStatus$Code;
 443:            57           2280  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 444:            57           2280  org.apache.spark.sql.execution.ui.SparkPlanGraphCluster
 445:            40           2240  scala.reflect.internal.Trees$DefDef
 446:            31           2232  java.util.logging.Logger
 447:            31           2232  org.spark_project.jetty.http.PathMap
 448:            92           2208  scala.collection.mutable.WrappedArray$ofRef
 449:            55           2200  scala.reflect.internal.Trees$This
